sentinel_id,category,pdf_page,table_id,item,expected_value,extracted_value,status,notes
S001,膳食宝塔食物量,153,表 1-54,1600kcal 谷类/g,200,200,pass,高置信表 1-54。
S002,成人 1600-2400kcal 食物量,153,表 1-54,2400kcal 谷类/g,300,300,pass,高置信表 1-54。
S003,成人 1600-2400kcal 食物量,153,表 1-54,2000kcal 蔬菜/g,450,450,pass,高置信表 1-54。
S004,成人 1600-2400kcal 食物量,153,表 1-54,2200kcal 动物性食物/g,200,200,pass,高置信表 1-54。
S005,孕期推荐量,197,表 2-3,孕晚期 粮谷类/g,225-275,225-275,pass,高置信表 2-3。
S006,孕期推荐量,197,表 2-3,孕中期 奶/g,300-500,300-500,pass,高置信表 2-3。
S007,乳母食谱/钙组合,204,表 2-6,组合一 合计钙/mg,1006,1006,pass,高置信表 2-6。
S008,乳母食谱/钙组合,204,表 2-6,组合二 合计钙/mg,1005,1005,pass,高置信表 2-6。
S009,学龄前儿童推荐量,261,表 2-8,2-3 岁 谷类/g,75-125,75-125,pass,高置信表 2-8。
S010,学龄前儿童推荐量,261,表 2-8,4-5 岁 食盐/g,<3,<3,pass,高置信表 2-8。
S011,老年评估表,287,表 2-12,MNA-SF BMI <19,0分,0分,pass,高置信表 2-12。
S012,老年评估表,288,表 2-13,Fried 男性身高 <=173cm 行走时间,>=7s,>=7s,pass,高置信表 2-13。
S013,素食推荐量,295,续表 2-16,全素 大豆及其制品/g/d,50-80,50-80,pass,高置信续表 2-16。
S014,素食推荐量,295,续表 2-16,蛋奶素 奶/g/d,300,300,pass,高置信续表 2-16。
S015,附录 DRI,354,附表 2-1,18-49 岁 男 EER,2250,2250,pass,附表 2-1 已按页图写入 verified override。
S016,儿童身高界值,361,附表 5-1,6.0 岁男生身高界值/cm,≤106.3,≤106.3,pass,附表 5-1 已按页图写入 verified override。
S017,儿童 BMI 界值,362,附表 5-2,6.0 岁男生中重度消瘦 BMI,≤13.2,≤13.2,pass,附表 5-2 已按页图写入 verified override。
S018,儿童高腰围界值,364,附表 5-4,18 岁男 P90/cm,83.0,83.0,pass,附表 5-4 已按页图写入 verified override。
