pdf_page,section,has_text,has_table,table_ids,confidence,notes
001,封面、版权和可视化图示,True,False,,low,
002,封面、版权和可视化图示,True,False,,low,
003,封面、版权和可视化图示,True,False,,low,
004,封面、版权和可视化图示,True,False,,low,
005,前言与编写说明,True,False,,low,
006,前言与编写说明,True,False,,high,
007,前言与编写说明,True,False,,medium,腾食:5
008,前言与编写说明,True,False,,high,
009,平衡膳食准则概览与目录,True,False,,high,
010,平衡膳食准则概览与目录,True,False,,high,训调:1
011,平衡膳食准则概览与目录,True,False,,medium,公策:2
012,平衡膳食准则概览与目录,True,False,,low,腾食:4
013,平衡膳食准则概览与目录,True,False,,high,
014,第一部分 一般人群膳食指南,True,False,,low,
015,第一部分 一般人群膳食指南,True,False,,low,公策:1
016,第一部分 一般人群膳食指南,True,False,,medium,腾食:2
017,准则一 食物多样，合理搭配,True,False,,low,腾食:8;摄和:1
018,准则一 食物多样，合理搭配,True,True,表 1-1,medium,腾食:2;报信:1
019,准则一 食物多样，合理搭配,True,False,,low,腾食:7;摄和:3;豪调:2
020,准则一 食物多样，合理搭配,True,True,表 1-4,high,腾食:2
021,准则一 食物多样，合理搭配,True,False,,high,
022,准则一 食物多样，合理搭配,True,False,,high,腾食:1
023,准则一 食物多样，合理搭配,True,True,表 1-5,medium,腾食:2
024,准则一 食物多样，合理搭配,True,True,表 1-6;表 1-7,medium,腾食:1;报信:1
025,准则一 食物多样，合理搭配,True,True,表 1-7,medium,腾食:4
026,准则一 食物多样，合理搭配,True,True,表 1-8;表 1-9;表 1-10,low,
027,准则一 食物多样，合理搭配,True,False,,medium,摄和:2
028,准则一 食物多样，合理搭配,True,True,表 1-11,low,腾食:9;摄和:3
029,准则一 食物多样，合理搭配,True,False,,high,腾食:1
030,准则一 食物多样，合理搭配,True,False,,high,腾食:2
031,准则一 食物多样，合理搭配,True,False,,low,腾食:12;摄和:1
032,准则一 食物多样，合理搭配,True,False,,high,摄和:2
033,准则一 食物多样，合理搭配,True,False,,medium,腾食:8
034,准则一 食物多样，合理搭配,True,False,,medium,摄和:2
035,准则一 食物多样，合理搭配,True,False,,high,摄和:2
036,准则一 食物多样，合理搭配,True,False,,medium,摄和:6
037,准则一 食物多样，合理搭配,True,False,,medium,腾食:2;摄和:1;报信:1
038,准则一 食物多样，合理搭配,True,False,,high,腾食:2;摄和:1
039,准则一 食物多样，合理搭配,True,False,,medium,腾食:1
040,准则一 食物多样，合理搭配,True,False,,medium,腾食:6
041,准则二 吃动平衡，健康体重,True,False,,medium,
042,准则二 吃动平衡，健康体重,True,True,表 1-14,high,摄和:1;table_false_positive_reviewed;table_false_positive_reviewed;table_false_positive_reviewed;table_false_positive_reviewed;table_false_positive_reviewed
043,准则二 吃动平衡，健康体重,True,False,,high,kgjm:1
044,准则二 吃动平衡，健康体重,True,False,,medium,摄和:1
045,准则二 吃动平衡，健康体重,True,False,,high,摄和:2
046,准则二 吃动平衡，健康体重,True,True,表 1-16,high,
047,准则二 吃动平衡，健康体重,True,False,,high,
048,准则二 吃动平衡，健康体重,True,True,表 1-17,high,
049,准则二 吃动平衡，健康体重,True,False,,high,
050,准则二 吃动平衡，健康体重,True,True,表 1-18,high,腾食:1;摄和:1
051,准则二 吃动平衡，健康体重,True,False,,high,
052,准则二 吃动平衡，健康体重,True,False,,low,
053,准则二 吃动平衡，健康体重,True,False,,medium,
054,准则二 吃动平衡，健康体重,True,True,表 1-19,high,
055,准则二 吃动平衡，健康体重,True,False,,medium,kgjm:1
056,准则二 吃动平衡，健康体重,True,False,,medium,
057,准则二 吃动平衡，健康体重,True,False,,high,
058,准则二 吃动平衡，健康体重,True,False,,high,
059,准则二 吃动平衡，健康体重,True,True,表 1-21,high,
060,准则二 吃动平衡，健康体重,True,False,,high,
061,准则三 多吃蔬果、奶类、全谷、大豆,True,False,,low,腾食:4;摄和:2
062,准则三 多吃蔬果、奶类、全谷、大豆,True,True,表 1-22,medium,腾食:1;摄和:3;报信:1
063,准则三 多吃蔬果、奶类、全谷、大豆,True,False,,low,
064,准则三 多吃蔬果、奶类、全谷、大豆,True,False,,high,腾食:1
065,准则三 多吃蔬果、奶类、全谷、大豆,True,True,表 1-23,medium,
066,准则三 多吃蔬果、奶类、全谷、大豆,True,False,,high,腾食:1;摄和:1
067,准则三 多吃蔬果、奶类、全谷、大豆,True,False,,high,腾食:1;摄和:1
068,准则三 多吃蔬果、奶类、全谷、大豆,True,False,,high,
069,准则三 多吃蔬果、奶类、全谷、大豆,True,False,,high,
070,准则三 多吃蔬果、奶类、全谷、大豆,True,False,,high,腾食:2
071,准则三 多吃蔬果、奶类、全谷、大豆,True,False,,medium,腾食:2
072,准则三 多吃蔬果、奶类、全谷、大豆,True,False,,medium,腾食:1;摄和:1;报信:1
073,准则三 多吃蔬果、奶类、全谷、大豆,True,False,,low,
074,准则三 多吃蔬果、奶类、全谷、大豆,True,False,,low,
075,准则三 多吃蔬果、奶类、全谷、大豆,True,False,,medium,摄和:1
076,准则三 多吃蔬果、奶类、全谷、大豆,True,False,,medium,腾食:3
077,准则三 多吃蔬果、奶类、全谷、大豆,True,False,,medium,
078,准则三 多吃蔬果、奶类、全谷、大豆,True,True,表 1-24,medium,
079,准则三 多吃蔬果、奶类、全谷、大豆,True,True,表 1-25,medium,
080,准则三 多吃蔬果、奶类、全谷、大豆,True,False,,high,腾食:1;摄和:1
081,准则三 多吃蔬果、奶类、全谷、大豆,True,True,表 1-26,high,摄和:2;table_false_positive_reviewed;table_false_positive_reviewed;table_false_positive_reviewed;table_false_positive_reviewed;table_false_positive_reviewed
082,准则三 多吃蔬果、奶类、全谷、大豆,True,True,表 1-26;表 1-27,medium,摄和:1
083,准则三 多吃蔬果、奶类、全谷、大豆,True,False,,medium,摄和:2
084,准则三 多吃蔬果、奶类、全谷、大豆,True,False,,medium,摄和:5
085,准则三 多吃蔬果、奶类、全谷、大豆,True,False,,medium,摄和:6
086,准则三 多吃蔬果、奶类、全谷、大豆,True,False,,medium,摄和:4
087,准则三 多吃蔬果、奶类、全谷、大豆,True,False,,high,腾食:2
088,准则三 多吃蔬果、奶类、全谷、大豆,True,True,表 1-28,medium,腾食:4
089,准则四 适量吃鱼、禽、蛋、瘦肉,True,False,,high,
090,准则四 适量吃鱼、禽、蛋、瘦肉,True,False,,medium,报信:1
091,准则四 适量吃鱼、禽、蛋、瘦肉,True,False,,medium,
092,准则四 适量吃鱼、禽、蛋、瘦肉,True,False,,high,
093,准则四 适量吃鱼、禽、蛋、瘦肉,True,False,,medium,
094,准则四 适量吃鱼、禽、蛋、瘦肉,True,False,,high,腾食:1;报信:1
095,准则四 适量吃鱼、禽、蛋、瘦肉,True,False,,medium,摄和:1
096,准则四 适量吃鱼、禽、蛋、瘦肉,True,True,表 1-31,low,
